TotalCharges,MonthlyCharges,tenure,Contract,PaymentMethod,OnlineSecurity,TechSupport,gender,OnlineBackup,InternetService,PaperlessBilling
29.85,29.85,1,0,2,0,0,0,2,0,1
1889.5,56.95,34,1,3,2,0,1,0,0,0
108.15,53.85,2,0,3,2,0,1,2,0,1
1840.75,42.3,45,1,0,2,2,1,0,0,0
151.65,70.7,2,0,2,0,0,0,0,1,1
820.5,99.65,8,0,2,0,0,0,0,1,1
1949.4,89.1,22,0,1,0,0,1,2,1,1
301.9,29.75,10,0,3,2,0,0,0,0,0
3046.05,104.8,28,0,2,0,2,0,0,1,1
3487.95,56.15,62,1,0,2,0,1,2,0,0
587.45,49.95,13,0,3,2,0,1,0,0,1
326.8,18.95,16,2,1,1,1,1,1,2,0
5681.1,100.35,58,1,1,0,0,1,0,1,0
5036.3,103.7,49,0,0,0,0,1,2,1,1
2686.05,105.5,25,0,2,2,2,1,0,1,1
7895.15,113.25,69,2,1,2,2,0,2,1,0
1022.95,20.65,52,1,3,1,1,0,1,2,0
7382.25,106.7,71,2,0,2,0,1,0,1,0
528.35,55.2,10,0,1,0,2,0,0,0,0
1862.9,90.05,21,0,2,0,0,0,2,1,1
39.65,39.65,1,0,2,0,0,1,0,0,1
202.25,19.8,12,1,0,1,1,1,1,2,0
20.15,20.15,1,0,3,1,1,1,1,2,0
3505.1,59.9,58,2,1,0,2,0,2,0,1
2970.3,59.6,49,0,1,2,2,1,2,0,0
1530.6,55.3,30,0,0,2,0,0,2,0,1
4749.15,99.35,47,0,2,0,0,1,2,1,1
30.2,30.2,1,0,2,0,0,1,2,0,0
6369.45,90.25,72,2,1,2,2,1,2,0,1
1093.1,64.7,17,0,3,0,0,0,0,0,1
6766.95,96.35,71,2,1,2,2,0,2,1,1
181.65,95.5,2,0,1,0,0,1,0,1,1
1874.45,66.15,27,1,3,2,2,0,2,0,0
20.2,20.2,1,0,0,1,1,1,1,2,0
45.25,45.25,1,0,0,0,0,1,0,0,0
7251.7,99.9,72,2,0,2,2,0,2,1,0
316.9,69.7,5,0,2,0,0,1,0,1,1
3548.3,74.8,46,0,1,0,0,0,0,1,1
3549.25,106.35,34,0,2,0,0,1,2,1,1
1105.4,97.85,11,0,0,0,0,0,0,1,1
475.7,49.55,10,1,3,0,0,1,2,0,0
4872.35,69.2,70,2,1,2,0,0,2,0,1
418.25,20.75,17,1,3,1,1,0,1,2,0
4861.45,79.85,63,2,1,2,2,0,2,0,1
981.45,76.2,13,0,2,2,2,0,2,0,1
3906.7,84.5,49,0,2,0,0,0,0,1,1
97.0,49.25,2,0,3,0,0,1,2,0,0
144.15,80.65,2,0,2,0,0,0,0,1,1
4217.8,79.75,52,2,1,2,2,1,0,0,1
4254.1,64.15,69,2,1,2,2,0,0,0,1
3838.75,90.25,43,0,2,0,0,0,2,1,1
1426.4,99.1,15,0,1,2,0,0,2,1,1
1752.65,69.5,25,0,1,2,2,0,0,0,1
633.3,80.65,8,0,1,0,0,0,2,1,1
4456.35,74.85,60,1,1,2,2,0,2,0,1
1752.55,95.45,18,0,2,0,0,1,0,1,1
6311.2,99.65,63,1,1,2,0,0,0,1,1
7076.35,108.45,66,1,2,0,2,1,2,1,1
894.3,24.95,34,2,1,1,1,0,1,2,0
7853.7,107.5,72,2,1,0,2,0,0,1,1
4707.1,100.5,47,0,2,0,0,0,0,1,1
5450.7,89.9,60,0,0,0,0,1,2,1,1
2962.0,42.1,72,2,0,2,0,1,2,0,0
957.1,54.4,18,1,1,0,2,0,0,0,1
857.25,94.4,9,0,2,0,0,0,0,1,0
244.1,75.3,3,0,2,0,2,0,2,0,1
3650.35,78.9,47,1,2,0,0,1,2,1,1
2497.2,79.2,31,2,3,0,2,0,2,0,0
930.9,20.15,50,2,0,1,1,0,1,2,0
887.35,79.85,10,0,3,2,0,1,0,1,1
49.05,49.05,1,0,3,0,2,1,0,0,0
1090.65,20.4,52,1,2,1,1,0,1,2,1
7099.0,111.6,64,2,0,2,2,1,0,1,1
1424.6,24.25,62,2,0,1,1,1,1,2,1
177.4,64.5,3,0,0,2,2,0,0,0,1
6139.5,110.5,56,1,2,2,0,0,2,1,0
2688.85,55.65,46,1,1,0,0,0,0,0,0
482.25,54.65,8,0,3,2,0,0,2,0,0
2111.3,74.75,30,0,2,2,0,1,2,0,1
1216.6,25.9,45,1,1,1,1,0,1,2,1
